Name,Rating,Rating_Count,Discount,Discount_price,Retail_price,Release_year,Win,Linux,Mac,Time
Total War: WARHAMMER II,8,20700,-66,"20,39","59,99",2017,1,1,1,2019-10-20 15:13:41.570168
Cities: Skylines,8,61835,-75,"6,99","27,99",2015,1,1,1,2019-10-20 15:13:41.570168
Hearts of Iron IV,8,37574,-60,"15,99","39,99",2016,1,1,1,2019-10-20 15:13:41.570168
Stellaris,6,39023,-75,"9,99","39,99",2016,1,1,1,2019-10-20 15:13:41.570168
Hearts of Iron IV: Mobilization Pack,8,41675,-56,"46,66","104,95",,1,1,1,2019-10-20 15:13:41.570168
theHunter: Call of the Wild™,6,20649,-40,"11,99","19,99",2017,1,0,0,2019-10-20 15:13:41.570168
Cities: Skylines Collection,8,65909,-56,"74,73","168,83",,1,1,1,2019-10-20 15:13:41.570168
Arma 3,8,89827,-66,"9,51","27,99",2013,1,0,0,2019-10-20 15:13:41.570168
Europa Universalis IV,8,39778,-75,"9,99","39,99",2013,1,1,1,2019-10-20 15:13:41.570168
Sid Meier’s Civilization® VI,5,43173,-70,"17,99","59,99",2016,1,1,1,2019-10-20 15:13:41.570168
Total War: WARHAMMER,6,24282,-75,"14,99","59,99",2016,1,1,1,2019-10-20 15:13:41.570168
theHunter: Call of the Wild™ - 2019 Edition,6,22456,-43,"29,39","51,93",,1,0,0,2019-10-20 15:13:41.570168
Assassin's Creed® Odyssey,8,29032,-50,"29,99","59,99",2018,1,0,0,2019-10-20 15:13:41.570168
Warhammer: Vermintide 2,6,27583,-75,"6,99","27,99",2018,1,0,0,2019-10-20 15:13:41.570168
Imperator: Rome,5,9633,-33,"26,79","39,99",2019,1,1,1,2019-10-20 15:13:41.570168
Hell Let Loose,6,4042,-20,"23,99","29,99",2019,1,0,0,2019-10-20 15:13:41.570168
Crusader Kings II: Royal Collection,8,44019,-55,"82,20","182,85",,1,1,1,2019-10-20 15:13:41.570168
Surviving Mars,6,5685,-66,"10,19","29,99",2018,1,1,1,2019-10-20 15:13:41.570168
Arma 3 Ultimate Edition,8,96186,-68,"39,36","124,40",,1,0,0,2019-10-20 15:13:41.570168
Sid Meier's Civilization VI : Platinum Edition,5,49706,-72,"47,75","167,91",,1,1,1,2019-10-20 15:13:41.570168
BATTLETECH,6,8065,-66,"13,59","39,99",2018,1,1,1,2019-10-20 15:13:41.570168
POSTAL 4: No Regerts,8,1703,-10,"15,11","16,79",2019,1,0,0,2019-10-20 15:13:41.570168
Assassin's Creed® Origins,8,35248,-60,"23,99","59,99",2017,1,0,0,2019-10-20 15:13:41.570168
Crusader Kings II: Imperial Collection,8,45315,-59,"129,76","313,36",,1,1,1,2019-10-20 15:13:41.570168
Stellaris: Ascension Pack,5,4243,-54,"39,49","85,93",,1,1,1,2019-10-20 15:13:41.570168
Little Big Workshop,8,103,-10,"17,99","19,99",2019,1,0,1,2019-10-20 15:13:41.570168
DiRT Rally 2.0,5,2228,-60,"21,99","54,99",2019,1,0,0,2019-10-20 15:13:41.570168
"Warhammer 40,000: Gladius - Relics of War",6,1352,-50,"16,99","33,99",2018,1,1,0,2019-10-20 15:13:41.570168
Autonauts,8,202,-20,"15,99","19,99",2019,1,0,0,2019-10-20 15:13:41.570168
Cities: Skylines - New Player Bundle,8,63073,-66,"20,66","59,96",,1,1,1,2019-10-20 15:13:41.570168
The Jackbox Party Pack 6,7,41,-17,"20,74","24,99",2019,1,1,1,2019-10-20 15:13:41.570168
Age of Wonders: Planetfall,6,1176,-10,"44,99","49,99",2019,1,0,0,2019-10-20 15:13:41.570168
